@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
11,'2019/03/14 02:16:27:546',1,-12898795,-11056342,-10136016,-9150676,-7901126,-9084108,-10464721,-11976665,-14147566,-16646144,-13620972,-11516118,-13423331,-16054011,-16382717,-16645888,-16645888,-16580352,-16777216,-16514560,-14014956,-11976153,-11844308,-16711680,-16711424,-16645888,-16711424,-16645888,-16777216,-16316925,-14146541,-12765409,-13948902,-16185079,-15198956,-14212059,-14606560,-15856370,-15987956,-11777213,-14277869,-16316925,-12438490,-8163488,-8816005,-6843236,-6452089,-8491424,-11779016,-9936817,-14277868,-16711680,-8889276,-5402240,-5989985,-6978172,-6454151,-7181981,-6848143,-8623791,-14014696,-15987704,-14542574,-10071743,-9607322,-6713449,-6255997,-9215661,-13292252,-7633032,-13883109,-13685989,-13290973,-14869484,-15461616,-15527406,-16185338,-15658738,-15264496,-14737894,-13751524,-13422817,-12830682,-12633047,-12501460,-12304081,-12172236,-11777479,-14607856,-13424100,-13291229,-13224923,-12896473,-12962264,-13159127,-12961749,-12764111,-13027283,-14213616,-11649496,1
12,'2019/03/14 02:16:27:580',1,-12898795,-11056342,-10136016,-9150676,-7901126,-9084108,-10464721,-11976665,-14147566,-16646144,-13620972,-11516118,-13423331,-16054011,-16382717,-16645888,-16645888,-16580352,-16777216,-16514560,-14014956,-11976153,-11844308,-16711680,-16711424,-16645888,-16711424,-16645888,-16777216,-16316925,-14146541,-12765409,-13948902,-16185079,-15198956,-14212059,-14606560,-15856370,-15987956,-11777213,-14277869,-16316925,-12438490,-8163488,-8816005,-6843236,-6452089,-8491424,-11779016,-9936817,-14277868,-16711680,-8889276,-5402240,-5989985,-6978172,-6454151,-7181981,-6848143,-8623791,-14014696,-15987704,-14542574,-10071743,-9607322,-6713449,-6255997,-9215661,-13292252,-7633032,-13883109,-13685989,-13290973,-14869484,-15461616,-15527406,-16185338,-15658738,-15264496,-14737894,-13751524,-13422817,-12830682,-12633047,-12501460,-12304081,-12172236,-11777479,-14607856,-13424100,-13291229,-13224923,-12896473,-12962264,-13159127,-12961749,-12764111,-13027283,-14213616,-11649496,1
13,'2019/03/14 02:16:27:614',1,-12898795,-11056342,-10136016,-9150676,-7901126,-9084108,-10464721,-11976665,-14147566,-16646144,-13620972,-11516118,-13423331,-16054011,-16382717,-16645888,-16645888,-16580352,-16777216,-16514560,-14014956,-11976153,-11844308,-16711680,-16711424,-16645888,-16711424,-16645888,-16777216,-16316925,-14146541,-12765409,-13948902,-16185079,-15198956,-14212059,-14606560,-15856370,-15987956,-11777213,-14277869,-16316925,-12438490,-8163488,-8816005,-6843236,-6452089,-8491424,-11779016,-9936817,-14277868,-16711680,-8889276,-5402240,-5989985,-6978172,-6454151,-7181981,-6848143,-8623791,-14014696,-15987704,-14542574,-10071743,-9607322,-6713449,-6255997,-9215661,-13292252,-7633032,-13883109,-13685989,-13290973,-14869484,-15461616,-15527406,-16185338,-15658738,-15264496,-14737894,-13751524,-13422817,-12830682,-12633047,-12501460,-12304081,-12172236,-11777479,-14607856,-13424100,-13291229,-13224923,-12896473,-12962264,-13159127,-12961749,-12764111,-13027283,-14213616,-11649496,1
14,'2019/03/14 02:16:27:647',1,-12964332,-11056342,-10201554,-9150677,-7901125,-9018571,-10398930,-11911129,-14147566,-16646144,-13620972,-11516375,-13357540,-16054010,-16316925,-16645888,-16580352,-16580352,-16777216,-16514559,-14015212,-11976409,-11844308,-16711680,-16711424,-16645888,-16645888,-16645888,-16777216,-16251389,-14146541,-12699873,-13948902,-16185078,-15133421,-14212059,-14606560,-15921906,-15987956,-11777469,-14277869,-16316669,-12504026,-8163489,-8947591,-6842981,-6452088,-8491679,-11779271,-9937073,-14343404,-16711680,-8889279,-5402241,-5990242,-6912636,-6454152,-7181726,-6913680,-8623791,-14014696,-15987704,-14542574,-10071744,-9804187,-6647912,-6190461,-9215660,-13292507,-7633033,-13883110,-13685989,-13290974,-14869484,-15461616,-15527406,-16185338,-15658737,-15198960,-14737638,-13751525,-13422817,-12830684,-12567512,-12566996,-12369618,-12172237,-11843016,-14607856,-13424101,-13356510,-13159389,-12896474,-12962264,-13159128,-12962005,-12829649,-12961747,-14213872,-11715031,1
15,'2019/03/14 02:16:27:680',1,-12964332,-11056342,-10201554,-9150677,-7901125,-9018571,-10398930,-11911129,-14147566,-16646144,-13620972,-11516375,-13357540,-16054010,-16316925,-16645888,-16580352,-16580352,-16777216,-16514559,-14015212,-11976409,-11844308,-16711680,-16711424,-16645888,-16645888,-16645888,-16777216,-16251389,-14146541,-12699873,-13948902,-16185078,-15133421,-14212059,-14606560,-15921906,-15987956,-11777469,-14277869,-16316669,-12504026,-8163489,-8947591,-6842981,-6452088,-8491679,-11779271,-9937073,-14343404,-16711680,-8889279,-5402241,-5990242,-6912636,-6454152,-7181726,-6913680,-8623791,-14014696,-15987704,-14542574,-10071744,-9804187,-6647912,-6190461,-9215660,-13292507,-7633033,-13883110,-13685989,-13290974,-14869484,-15461616,-15527406,-16185338,-15658737,-15198960,-14737638,-13751525,-13422817,-12830684,-12567512,-12566996,-12369618,-12172237,-11843016,-14607856,-13424101,-13356510,-13159389,-12896474,-12962264,-13159128,-12962005,-12829649,-12961747,-14213872,-11715031,1
16,'2019/03/14 02:16:27:714',1,-12898795,-11056343,-10136016,-9150676,-7901127,-9084108,-10398929,-11976666,-14212846,-16646144,-13621227,-11516119,-13423075,-16054010,-16317181,-16645888,-16580352,-16580352,-16777216,-16514559,-14015212,-11976154,-11844308,-16711680,-16711424,-16645887,-16645888,-16645888,-16777216,-16251389,-14081005,-12765408,-13948902,-16185079,-15198956,-14212059,-14606559,-15921906,-15987956,-11843005,-14277869,-16316925,-12438746,-8163489,-9013128,-6843236,-6452089,-8491680,-11779272,-10002353,-14277868,-16711680,-8954813,-5402241,-5989986,-6912635,-6454151,-7181726,-6848143,-8689327,-14080232,-15987961,-14542574,-10006207,-9804187,-6647913,-6190461,-9215661,-13292251,-7698569,-13948646,-13685990,-13290974,-14869741,-15461616,-15527406,-16185337,-15658994,-15198960,-14737894,-13751526,-13422818,-12830683,-12633048,-12501715,-12304081,-12172236,-11843016,-14607857,-13489637,-13356767,-13159645,-12896474,-13027801,-13159128,-12961750,-12829648,-13027027,-14148337,-11780566,1
17,'2019/03/14 02:16:27:746',1,-12898795,-11056343,-10136016,-9150676,-7901127,-9084108,-10398929,-11976666,-14212846,-16646144,-13621227,-11516119,-13423075,-16054010,-16317181,-16645888,-16580352,-16580352,-16777216,-16514559,-14015212,-11976154,-11844308,-16711680,-16711424,-16645887,-16645888,-16645888,-16777216,-16251389,-14081005,-12765408,-13948902,-16185079,-15198956,-14212059,-14606559,-15921906,-15987956,-11843005,-14277869,-16316925,-12438746,-8163489,-9013128,-6843236,-6452089,-8491680,-11779272,-10002353,-14277868,-16711680,-8954813,-5402241,-5989986,-6912635,-6454151,-7181726,-6848143,-8689327,-14080232,-15987961,-14542574,-10006207,-9804187,-6647913,-6190461,-9215661,-13292251,-7698569,-13948646,-13685990,-13290974,-14869741,-15461616,-15527406,-16185337,-15658994,-15198960,-14737894,-13751526,-13422818,-12830683,-12633048,-12501715,-12304081,-12172236,-11843016,-14607857,-13489637,-13356767,-13159645,-12896474,-13027801,-13159128,-12961750,-12829648,-13027027,-14148337,-11780566,1
18,'2019/03/14 02:16:27:780',1,-12898795,-11056343,-10136016,-9150676,-7901127,-9084108,-10398929,-11976666,-14212846,-16646144,-13621227,-11516119,-13423075,-16054010,-16317181,-16645888,-16580352,-16580352,-16777216,-16514559,-14015212,-11976154,-11844308,-16711680,-16711424,-16645887,-16645888,-16645888,-16777216,-16251389,-14081005,-12765408,-13948902,-16185079,-15198956,-14212059,-14606559,-15921906,-15987956,-11843005,-14277869,-16316925,-12438746,-8163489,-9013128,-6843236,-6452089,-8491680,-11779272,-10002353,-14277868,-16711680,-8954813,-5402241,-5989986,-6912635,-6454151,-7181726,-6848143,-8689327,-14080232,-15987961,-14542574,-10006207,-9804187,-6647913,-6190461,-9215661,-13292251,-7698569,-13948646,-13685990,-13290974,-14869741,-15461616,-15527406,-16185337,-15658994,-15198960,-14737894,-13751526,-13422818,-12830683,-12633048,-12501715,-12304081,-12172236,-11843016,-14607857,-13489637,-13356767,-13159645,-12896474,-13027801,-13159128,-12961750,-12829648,-13027027,-14148337,-11780566,1
19,'2019/03/14 02:16:27:814',1,-12964330,-11056599,-10136018,-9150675,-7901125,-9083853,-10398930,-11976666,-14147310,-16646144,-13621228,-11516374,-13423075,-16054011,-16316925,-16645888,-16645888,-16580352,-16777216,-16514559,-14015211,-11976410,-11844307,-16711680,-16711424,-16645888,-16645888,-16645888,-16777216,-16317181,-14146541,-12765408,-13948902,-16185335,-15198957,-14212059,-14606559,-15856370,-15987956,-11843005,-14343404,-16316925,-12438746,-8163489,-9013384,-6842981,-6386552,-8491679,-11844551,-10002353,-14277868,-16777216,-8889278,-5402241,-5990241,-6977916,-6454152,-7181726,-6848143,-8623791,-14014696,-15987960,-14542575,-10071744,-9738907,-6647912,-6190460,-9215661,-13292252,-7698825,-13883110,-13685990,-13290973,-14869740,-15461616,-15527406,-16185338,-15658737,-15198960,-14737893,-13751781,-13422817,-12830683,-12567511,-12566996,-12304338,-12171981,-11777480,-14607856,-13489637,-13356767,-13159389,-12896474,-13027801,-13159128,-13027285,-12829648,-13027284,-14213616,-11780568,1
20,'2019/03/14 02:16:27:847',1,-12964330,-11056599,-10136018,-9150675,-7901125,-9083853,-10398930,-11976666,-14147310,-16646144,-13621228,-11516374,-13423075,-16054011,-16316925,-16645888,-16645888,-16580352,-16777216,-16514559,-14015211,-11976410,-11844307,-16711680,-16711424,-16645888,-16645888,-16645888,-16777216,-16317181,-14146541,-12765408,-13948902,-16185335,-15198957,-14212059,-14606559,-15856370,-15987956,-11843005,-14343404,-16316925,-12438746,-8163489,-9013384,-6842981,-6386552,-8491679,-11844551,-10002353,-14277868,-16777216,-8889278,-5402241,-5990241,-6977916,-6454152,-7181726,-6848143,-8623791,-14014696,-15987960,-14542575,-10071744,-9738907,-6647912,-6190460,-9215661,-13292252,-7698825,-13883110,-13685990,-13290973,-14869740,-15461616,-15527406,-16185338,-15658737,-15198960,-14737893,-13751781,-13422817,-12830683,-12567511,-12566996,-12304338,-12171981,-11777480,-14607856,-13489637,-13356767,-13159389,-12896474,-13027801,-13159128,-13027285,-12829648,-13027284,-14213616,-11780568,1
